region_id,region_name,exports,exports_m3,imports,imports_m3,npc_bounties,total_destroyed,total_production,trade_value
10000064,Essence,159607196707940.03,22104258948.206497,151067834961235.5,22074269822.737,103534453365.0,495241138503.48,1043267184715.227,3809641845666.829
10000039,Esoteria,7530648939399.894,1364515993.0498,9498633019660.479,1611153284.2363,523867597203.0,634297173622.67,911011938607.2167,462125270491.05
10000043,Domain,158259983526631.66,14436687079.0087,167993705577207.12,15103764599.6322,249997208769.0,594129703964.67,3057695473722.343,39588530049431.88
10000036,Devoid,108621855574776.17,8907820474.6509,105504335357782.0,8845508664.8239,39876207035.0,159348225498.89,214843532868.4773,737881234856.0201
10000005,Detorid,13355585037499.727,1534100259.4003,11107164466697.004,1368195538.5505,657136270617.0,283147251650.47,1198866139514.5513,3738633911.0
10000001,Derelik,100301958231997.33,9391927656.5206,105736291734859.94,8727266964.5553,59180521470.0,533587499640.87,638677110827.4489,1296746500572.05
10000060,Delve,38039721222972.69,5517527396.4378,47316253429286.96,4898297805.2363,1897398734724.0,1122735213197.37,14169417633237.078,14193641652862.86
10000035,Deklein,6953270472737.527,413997322.2918,4417167504239.649,383177853.3828,538435612177.0,269443747119.95,729949413825.098,31863011273.619995
10000012,Curse,9418376556598.113,856676155.0313,8256423657478.957,840562400.0320001,62131632734.0,332214360094.18,63904130817.0106,86967463378.92
10000053,Cobalt Edge,3221978539549.0405,203737242.9232,5622037600923.211,203719818.5547,300509825601.0,118112419919.02,601261536888.3383,33094767726.45
10000051,Cloud Ring,5638741789651.858,130978595.01460001,5917725584525.298,357969358.3331,68288670887.0,119219413922.57,209572472588.0399,2946749360.84
10000014,Catch,12710880320813.5,950454531.2945,12297223132952.383,1146655401.7413,692918363576.0,523235996506.6,438733177407.2787,96981922379.61
10000007,Cache,6852061420463.072,484574264.65260005,6490044258505.146,489047303.56310004,221588468425.0,214396633669.55,51173365203.196,3568925505.0
10000055,Branch,5840303557312.325,855221846.0078,3607025987888.3237,446916868.53779995,687094227085.0,247992095687.25,1057566157167.754,135594728617.44
10000069,Black Rise,22531514975675.402,2270439824.0005,17905505970380.38,1985507375.1432,104430535288.0,301057161491.5,658538076076.683,247191781131.19
10000054,Aridia,17602445971367.21,1008416506.271,13696393788797.729,956793640.7362,78528985811.0,166684411568.61,151703582843.1469,1022284462535.2401
